class,region,feature,mean,std
ripe,background,B,119.67368301391602,51.5461392211914
ripe,background,G,137.45747924804687,49.387031936645506
ripe,background,H,87.2077478981018,79.87877014160156
ripe,background,R,146.31792419433594,49.49973335266113
ripe,background,S,0.36168169021606444,0.22337440475821496
ripe,background,V,0.611904753446579,0.18505459561944007
ripe,fruit,B,42.68008354187012,42.315871505737306
ripe,fruit,G,71.61289901733399,46.16924659729004
ripe,fruit,H,48.34737735748291,73.82636837005616
ripe,fruit,R,189.17279968261718,45.055114364624025
ripe,fruit,S,0.7977120065689087,0.18710556119680405
ripe,fruit,V,0.7438268613815308,0.17318288564682008
unripe,background,B,126.16847721735637,41.22266721725464
unripe,background,G,153.94999249776205,40.28804095586141
unripe,background,H,64.58418345451355,43.08957930405935
unripe,background,R,149.22097524007162,40.75552352269491
unripe,background,S,0.33174998202593997,0.17843442984546223
unripe,background,V,0.6244208849966526,0.15705305865655342
unripe,fruit,B,66.5049017270406,44.30763975779215
unripe,fruit,G,165.37511444091797,41.58772818247477
unripe,fruit,H,78.14123026529948,11.547268758217493
unripe,fruit,R,140.08998807271323,45.530713160832725
unripe,fruit,S,0.6312471081813177,0.1868823735664288
unripe,fruit,V,0.6500766587754091,0.16277351540823778
