index,combination,split,jaccard_mean,jaccard_std
0,B,test,0.4895619093595369,0.335309851702763
1,B,train,0.5226610277302721,0.3133271611688239
2,B,validation,0.4776892154294861,0.24769003030188352
3,G,test,0.40872272734450876,0.3017290170277314
4,G,train,0.5276443613464814,0.25877140020897427
5,G,validation,0.46731186208667563,0.21634011733160785
6,GB,test,0.4565708700096842,0.3513304516240105
7,GB,train,0.5332526415200552,0.2988019572203236
8,GB,validation,0.46353390152536667,0.25549073455404836
9,R,test,0.44194319403367643,0.3002800848411987
10,R,train,0.5676728005167919,0.22455020955492297
11,R,validation,0.437048255376535,0.18521411390810139
12,RB,test,0.46547147636282743,0.360549392482375
13,RB,train,0.5897079990539611,0.2640898699267931
14,RB,validation,0.47786468613197164,0.21204469369403672
15,RG,test,0.4825318656739031,0.32813405013239494
16,RG,train,0.5905652078294835,0.22917667328094396
17,RG,validation,0.4497866889551268,0.21390231795818962
18,RGB,test,0.4553401954935627,0.3480602176299762
19,RGB,train,0.5764184191777579,0.26623522385863607
20,RGB,validation,0.4666594097295796,0.2182187521260242
