index,name,class,split
0,riped_tomato_10.jpeg,unripe,train
1,unriped_tomato_1.jpeg,unripe,test
2,unriped_tomato_11.jpeg,unripe,test
3,unriped_tomato_12.jpeg,unripe,test
4,unriped_tomato_14.jpeg,unripe,train
5,unriped_tomato_15.jpeg,unripe,train
6,unriped_tomato_17.jpeg,unripe,train
7,unriped_tomato_2.jpeg,unripe,train
8,unriped_tomato_25.jpeg,unripe,train
9,unriped_tomato_27.jpeg,unripe,train
10,unriped_tomato_3.jpeg,unripe,train
11,unriped_tomato_31.jpeg,unripe,train
12,unriped_tomato_34.jpeg,unripe,train
13,unriped_tomato_35.jpeg,unripe,train
14,unriped_tomato_4.jpeg,unripe,train
15,unriped_tomato_43.jpeg,unripe,test
16,unriped_tomato_48.jpeg,unripe,train
17,unriped_tomato_51.jpeg,unripe,train
18,unriped_tomato_54.jpeg,unripe,validation
19,unriped_tomato_55.jpeg,unripe,validation
20,unriped_tomato_58.jpeg,unripe,test
21,unriped_tomato_6.jpeg,unripe,test
22,unriped_tomato_61.jpeg,unripe,validation
23,unriped_tomato_62.jpeg,unripe,validation
24,unriped_tomato_64.jpeg,unripe,train
25,unriped_tomato_65.jpeg,unripe,validation
26,unriped_tomato_7.jpeg,unripe,train
27,unriped_tomato_72.jpeg,unripe,test
28,unriped_tomato_74.jpeg,unripe,train
29,unriped_tomato_8.jpeg,unripe,validation
30,unriped_tomato_9.jpeg,unripe,train
31,riped_tomato_11.jpeg,ripe,train
32,riped_tomato_12.jpeg,ripe,test
33,riped_tomato_13.jpeg,ripe,train
34,riped_tomato_14.jpeg,ripe,train
35,riped_tomato_15.jpeg,ripe,train
36,riped_tomato_16.jpeg,ripe,test
37,riped_tomato_20.jpeg,ripe,train
38,riped_tomato_21.jpeg,ripe,train
39,riped_tomato_22.jpeg,ripe,test
40,riped_tomato_25.jpeg,ripe,train
41,riped_tomato_28.jpeg,ripe,train
42,riped_tomato_29.jpeg,ripe,validation
43,riped_tomato_3.jpeg,ripe,validation
44,riped_tomato_31.jpeg,ripe,train
45,riped_tomato_33.jpeg,ripe,train
46,riped_tomato_4.jpeg,ripe,validation
47,riped_tomato_40.jpeg,ripe,test
48,riped_tomato_42.jpeg,ripe,train
49,riped_tomato_45.jpeg,ripe,train
50,riped_tomato_46.jpeg,ripe,validation
51,riped_tomato_52.jpeg,ripe,train
52,riped_tomato_6.jpeg,ripe,test
53,riped_tomato_7.jpeg,ripe,train
54,riped_tomato_73.jpeg,ripe,validation
55,riped_tomato_78.jpeg,ripe,train
56,riped_tomato_8.jpeg,ripe,validation
57,riped_tomato_80.jpeg,ripe,train
58,riped_tomato_82.jpeg,ripe,train
59,riped_tomato_83.jpeg,ripe,validation
60,riped_tomato_9.jpeg,ripe,train
61,riped_tomato_97.jpeg,ripe,test
