repeat,combination,postprocess,mask_source,strategy,features,corrected,introduced,threshold,auc,accuracy,sensitivity,specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp
0,RB,True,kmeans,Bayes + análisis,"H,G,R",0,0,-1.2032262982493744,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
0,RB,True,kmeans,Bayes + SFS,"H,B",0,0,-1.224885872426225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,RB,True,kmeans,PCA + Bayes,"PC1,PC2,PC3",0,0,1.0412013008158008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,RB,True,reference_test_swap,Bayes + análisis,"H,G,R",1,0,-1.2032262982493744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,RB,True,reference_test_swap,Bayes + SFS,"H,B",0,0,-1.224885872426225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,RB,True,reference_test_swap,PCA + Bayes,"PC1,PC2,PC3",0,0,1.0412013008158008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,RB,True,reference_fixed,Bayes + análisis,"H,G,R",1,0,-3.823389013790236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,RB,True,reference_fixed,Bayes + SFS,"H,B",0,0,-0.9351035919128439,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,RB,True,reference_fixed,PCA + Bayes,"PC1,PC2,PC3",0,0,-3.2069121008662282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,RB,True,reference_redesign,Bayes + análisis,"H,R,S",1,0,-1.7737009268114976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,RB,True,reference_redesign,Bayes + SFS,H,0,0,-1.6032727324642773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,RB,True,reference_redesign,PCA + Bayes,"PC1,PC2,PC3",0,0,-3.2069121008662282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,RB,True,kmeans_linear_hue,Bayes + análisis,"a*,R,S",1,0,3.7755957671319034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,RB,True,kmeans_linear_hue,Bayes + SFS,"G,R,H,a*,S",0,0,7.328173584928015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,RB,True,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",0,0,-0.5975497014312583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,RB,True,kmeans,Bayes + análisis,"a*,R,S",0,0,2.5991265679002407,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
1,RB,True,kmeans,Bayes + SFS,"H,S,R",0,0,0.9460745376599515,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
1,RB,True,kmeans,PCA + Bayes,"PC1,PC2,PC3",0,0,-0.49492173693016683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,RB,True,reference_test_swap,Bayes + análisis,"a*,R,S",1,0,2.5991265679002407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,RB,True,reference_test_swap,Bayes + SFS,"H,S,R",1,0,0.9460745376599515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,RB,True,reference_test_swap,PCA + Bayes,"PC1,PC2,PC3",0,0,-0.49492173693016683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,RB,True,reference_fixed,Bayes + análisis,"a*,R,S",1,0,3.9956819963418884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,RB,True,reference_fixed,Bayes + SFS,"H,S,R",1,0,-6.5268641810887384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,RB,True,reference_fixed,PCA + Bayes,"PC1,PC2,PC3",0,0,-4.935606856879303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,RB,True,reference_redesign,Bayes + análisis,"a*,R,S",1,0,3.9956819963418884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,RB,True,reference_redesign,Bayes + SFS,H,1,0,-6.791619518955034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,RB,True,reference_redesign,PCA + Bayes,"PC1,PC2,PC3",0,0,-4.935606856879303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,RB,True,kmeans_linear_hue,Bayes + análisis,"a*,R,H",0,0,2.6631855205996295,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
1,RB,True,kmeans_linear_hue,Bayes + SFS,"a*,S,R,B",0,0,2.386496466719901,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
1,RB,True,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",0,1,0.39051350654226447,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
2,RB,True,kmeans,Bayes + análisis,"H,G,R",0,0,4.0685381526185935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,RB,True,kmeans,Bayes + SFS,"H,B,S",0,0,2.8025443950060525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,RB,True,kmeans,PCA + Bayes,"PC1,PC2,PC3",0,0,1.2471281155956873,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
2,RB,True,reference_test_swap,Bayes + análisis,"H,G,R",0,0,4.0685381526185935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,RB,True,reference_test_swap,Bayes + SFS,"H,B,S",0,0,2.8025443950060525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,RB,True,reference_test_swap,PCA + Bayes,"PC1,PC2,PC3",1,0,1.2471281155956873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,RB,True,reference_fixed,Bayes + análisis,"H,G,R",0,0,4.030069633887749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,RB,True,reference_fixed,Bayes + SFS,"H,B,S",0,0,3.593809074703123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,RB,True,reference_fixed,PCA + Bayes,"PC1,PC2,PC3",1,0,-1.9873241189354491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,RB,True,reference_redesign,Bayes + análisis,"a*,R,S",0,0,11.588563109526515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,RB,True,reference_redesign,Bayes + SFS,H,0,0,3.698286228311349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,RB,True,reference_redesign,PCA + Bayes,"PC1,PC2,PC3",1,0,-1.9873241189354491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,RB,True,kmeans_linear_hue,Bayes + análisis,"a*,R,S",0,1,8.713125771951802,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
2,RB,True,kmeans_linear_hue,Bayes + SFS,"a*,B,S",0,1,9.505610563223296,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
2,RB,True,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",0,2,-0.33183865171414384,0.9444444444444445,0.75,0.8333333333333334,0.6666666666666666,0.75,0.7142857142857143,0.7692307692307692,4,2,1,5
3,RB,True,kmeans,Bayes + análisis,"H,G,R",0,0,12.667471590870738,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
3,RB,True,kmeans,Bayes + SFS,H,0,0,4.458624496362151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
3,RB,True,kmeans,PCA + Bayes,"PC1,PC2,PC3",0,0,4.0965112611217,1.0,0.75,0.5,1.0,0.75,1.0,0.6666666666666666,6,0,3,3
3,RB,True,reference_test_swap,Bayes + análisis,"H,G,R",1,0,12.667471590870738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
3,RB,True,reference_test_swap,Bayes + SFS,H,0,0,4.458624496362151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
3,RB,True,reference_test_swap,PCA + Bayes,"PC1,PC2,PC3",3,0,4.0965112611217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
3,RB,True,reference_fixed,Bayes + análisis,"H,G,R",1,0,8.640768546753078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
3,RB,True,reference_fixed,Bayes + SFS,H,0,0,5.531395045499366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
3,RB,True,reference_fixed,PCA + Bayes,"PC1,PC2,PC3",3,0,1.4176417682895837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
3,RB,True,reference_redesign,Bayes + análisis,"a*,R,S",1,0,24.87955683489932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
3,RB,True,reference_redesign,Bayes + SFS,G,0,1,3.9945125223628257,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
3,RB,True,reference_redesign,PCA + Bayes,"PC1,PC2,PC3",3,0,1.4176417682895837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
3,RB,True,kmeans_linear_hue,Bayes + análisis,"a*,R,H",0,2,26.18434992654725,1.0,0.75,0.5,1.0,0.75,1.0,0.6666666666666666,6,0,3,3
3,RB,True,kmeans_linear_hue,Bayes + SFS,a*,0,3,21.432635504773145,1.0,0.75,0.5,1.0,0.75,1.0,0.6666666666666666,6,0,3,3
3,RB,True,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",1,1,2.1054086583970464,0.888888888888889,0.75,0.6666666666666666,0.8333333333333334,0.75,0.8,0.7272727272727272,5,1,2,4
4,RB,True,kmeans,Bayes + análisis,"H,G,R",0,0,10.705104300504644,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
4,RB,True,kmeans,Bayes + SFS,"H,S",0,0,1.5248068802219672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
4,RB,True,kmeans,PCA + Bayes,"PC1,PC2,PC3",0,0,1.6395476649745766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
4,RB,True,reference_test_swap,Bayes + análisis,"H,G,R",1,0,10.705104300504644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
4,RB,True,reference_test_swap,Bayes + SFS,"H,S",0,0,1.5248068802219672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
4,RB,True,reference_test_swap,PCA + Bayes,"PC1,PC2,PC3",0,0,1.6395476649745766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
4,RB,True,reference_fixed,Bayes + análisis,"H,G,R",1,0,5.689038397504424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
4,RB,True,reference_fixed,Bayes + SFS,"H,S",0,0,6.068983847334984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
4,RB,True,reference_fixed,PCA + Bayes,"PC1,PC2,PC3",0,0,1.1018067453022766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
4,RB,True,reference_redesign,Bayes + análisis,"H,S,R",1,0,9.41963758598152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
4,RB,True,reference_redesign,Bayes + SFS,H,0,0,7.000215225026899,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
4,RB,True,reference_redesign,PCA + Bayes,"PC1,PC2,PC3",0,0,1.1018067453022766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
4,RB,True,kmeans_linear_hue,Bayes + análisis,"a*,R,S",1,0,13.182768416436138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
4,RB,True,kmeans_linear_hue,Bayes + SFS,"a*,S,B,H",0,0,3.231123054035736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
4,RB,True,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",0,1,0.18846204950641576,0.8611111111111112,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
5,RB,True,kmeans,Bayes + análisis,"a*,R,S",0,0,-0.6984319014613831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,RB,True,kmeans,Bayes + SFS,H,0,0,-2.2873795107513755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,RB,True,kmeans,PCA + Bayes,"PC1,PC2,PC3",0,0,-1.1699516613148147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,RB,True,reference_test_swap,Bayes + análisis,"a*,R,S",0,0,-0.6984319014613831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,RB,True,reference_test_swap,Bayes + SFS,H,0,0,-2.2873795107513755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,RB,True,reference_test_swap,PCA + Bayes,"PC1,PC2,PC3",0,0,-1.1699516613148147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,RB,True,reference_fixed,Bayes + análisis,"a*,R,S",0,0,-2.035550177865888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,RB,True,reference_fixed,Bayes + SFS,H,0,0,-8.14811012643094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,RB,True,reference_fixed,PCA + Bayes,"PC1,PC2,PC3",0,0,-3.574995207213676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,RB,True,reference_redesign,Bayes + análisis,"a*,R,S",0,0,-2.035550177865888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,RB,True,reference_redesign,Bayes + SFS,G,0,0,3.130690848017878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,RB,True,reference_redesign,PCA + Bayes,"PC1,PC2,PC3",0,0,-3.574995207213676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
