mask_source,strategy,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,fp,fn,corrected,introduced
kmeans,Bayes + análisis,0.9888888888888889,0.033109079626024294,0.9666666666666667,0.041522739926870014,0.961111111111111,0.07169717785867938,0.9722222222222222,0.0631748369649086,5,7,0,0
kmeans,Bayes + SFS,0.9925925925925926,0.02054666543455739,0.9694444444444444,0.04084437648779676,0.9666666666666667,0.067806350362081,0.9722222222222222,0.06317483696490861,5,6,0,0
kmeans,PCA + Bayes,0.9777777777777779,0.04860769008213952,0.9638888888888889,0.06066100348288387,0.9444444444444445,0.11014909204187777,0.9833333333333333,0.06709631665607482,3,10,0,0
reference_test_swap,Bayes + análisis,1.0,0.0,0.9972222222222222,0.015214515486254621,1.0,0.0,0.9944444444444444,0.030429030972509218,1,0,12,1
reference_test_swap,Bayes + SFS,1.0,0.0,0.9944444444444444,0.02114234430853854,1.0,0.0,0.9888888888888889,0.042284688617077064,2,0,9,0
reference_test_swap,PCA + Bayes,1.0,0.0,0.9777777777777777,0.043402538313515655,1.0,0.0,0.9555555555555556,0.08680507662703131,8,0,11,6
reference_fixed,Bayes + análisis,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,12,0
reference_fixed,Bayes + SFS,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,11,0
reference_fixed,PCA + Bayes,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,13,0
reference_redesign,Bayes + análisis,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,12,0
reference_redesign,Bayes + SFS,1.0,0.0,0.9694444444444444,0.05572292795494764,0.9722222222222222,0.076855506229569,0.9666666666666667,0.09181023240329132,6,5,11,11
reference_redesign,PCA + Bayes,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,13,0
kmeans_linear_hue,Bayes + análisis,0.9777777777777777,0.05075001546617442,0.9583333333333334,0.06092360645722468,0.9388888888888889,0.11973256704735634,0.9777777777777779,0.05762431727362673,4,11,4,7
kmeans_linear_hue,Bayes + SFS,0.975925925925926,0.05092447461069097,0.9638888888888889,0.06810001284640638,0.95,0.10854312136382616,0.9777777777777777,0.09522441062056096,4,9,5,7
kmeans_linear_hue,PCA + Bayes,0.9546296296296296,0.07165386938124009,0.8861111111111111,0.09150543116989701,0.8833333333333333,0.1323961314849641,0.888888888888889,0.14069704235232597,20,21,3,31
