mask_source,strategy,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,fp,fn,corrected,introduced
kmeans,Bayes + análisis,0.987037037037037,0.03700509478267991,0.9722222222222222,0.039955275123782025,0.961111111111111,0.07169717785867938,0.9833333333333333,0.050854762771560785,3,7,0,0
kmeans,Bayes + SFS,0.9925925925925926,0.02054666543455739,0.975,0.03884096664161659,0.9666666666666667,0.067806350362081,0.9833333333333333,0.05085476277156077,3,6,0,0
kmeans,PCA + Bayes,0.9796296296296296,0.04609791468216925,0.95,0.07453559924999299,0.9222222222222223,0.12934652537689348,0.9777777777777777,0.09522441062056096,4,14,0,0
reference_test_swap,Bayes + análisis,1.0,0.0,0.9972222222222222,0.015214515486254621,1.0,0.0,0.9944444444444444,0.030429030972509218,1,0,10,1
reference_test_swap,Bayes + SFS,1.0,0.0,0.9972222222222222,0.015214515486254616,1.0,0.0,0.9944444444444444,0.030429030972509218,1,0,8,0
reference_test_swap,PCA + Bayes,1.0,0.0,0.9805555555555556,0.042000577749477574,1.0,0.0,0.961111111111111,0.08400115549895514,7,0,16,5
reference_fixed,Bayes + análisis,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,10,0
reference_fixed,Bayes + SFS,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,9,0
reference_fixed,PCA + Bayes,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,18,0
reference_redesign,Bayes + análisis,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,10,0
reference_redesign,Bayes + SFS,1.0,0.0,0.9666666666666667,0.056222055638600436,0.9666666666666667,0.08070569968525038,0.9666666666666667,0.09181023240329132,6,6,9,12
reference_redesign,PCA + Bayes,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,18,0
kmeans_linear_hue,Bayes + análisis,0.9805555555555556,0.04505684409342746,0.9722222222222222,0.05507454602093889,0.95,0.10854312136382616,0.9944444444444444,0.03042903097250922,1,9,3,3
kmeans_linear_hue,Bayes + SFS,0.9768518518518519,0.0478815440343913,0.9583333333333334,0.07814295770624798,0.95,0.10854312136382616,0.9666666666666667,0.1268540658512312,6,9,3,9
kmeans_linear_hue,PCA + Bayes,0.9583333333333334,0.06306945768059453,0.8861111111111111,0.08035878994440011,0.861111111111111,0.15214515486254615,0.9111111111111111,0.1293465253768935,16,25,5,28
