strategy,features,count
Bayes + SFS,H,11
Bayes + SFS,"H,S",6
Bayes + SFS,"H,B",3
Bayes + SFS,"H,B,S",1
Bayes + SFS,"H,B,V,R",1
Bayes + SFS,"H,G,B,R,S",1
Bayes + SFS,"H,R",1
Bayes + SFS,"H,R,B,S",1
Bayes + SFS,"H,S,R",1
Bayes + SFS,"H,S,R,B",1
Bayes + SFS,"H,S,V,R,B",1
Bayes + SFS,"H,V",1
Bayes + SFS,"H,V,S,B,R,G",1
Bayes + análisis,"H,G,R",16
Bayes + análisis,"a*,G,R",5
Bayes + análisis,"H,G,S",3
Bayes + análisis,"a*,R,S",3
Bayes + análisis,"H,R,G",1
Bayes + análisis,"a*,R,G",1
Bayes + análisis,"a*,S,R",1
PCA + Bayes,"PC1,PC2,PC3",30
