repeat,mask_source,strategy,features,threshold,auc,accuracy,sensitivity,specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp
0,kmeans,Bayes + análisis,"H,G,R",-1.2779805524140233,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
0,kmeans,Bayes + SFS,"H,B",-1.3012899451479463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,kmeans,PCA + Bayes,"PC1,PC2,PC3",0.8983976593430789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,reference,Bayes + análisis,"H,R,S",-1.7630405131700932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,reference,Bayes + SFS,H,-1.589095083972751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,reference,PCA + Bayes,"PC1,PC2,PC3",-3.22120084917713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,kmeans_linear_hue,Bayes + análisis,"a*,R,S",3.765875849088679,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,kmeans_linear_hue,Bayes + SFS,"a*,S",2.858932095832512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
0,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",-0.533199934243628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,kmeans,Bayes + análisis,"H,R,G",1.4710493616369007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,kmeans,Bayes + SFS,"H,R",2.3216205856348475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,kmeans,PCA + Bayes,"PC1,PC2,PC3",-0.8708854803511388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,reference,Bayes + análisis,"a*,R,S",3.9561724964418588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,reference,Bayes + SFS,H,-6.826763889505001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,reference,PCA + Bayes,"PC1,PC2,PC3",-4.8671659728759895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,kmeans_linear_hue,Bayes + análisis,"a*,R,G",2.142475614672821,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,kmeans_linear_hue,Bayes + SFS,"a*,R,S",2.690932922160064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
1,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",1.365739327480759,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
2,kmeans,Bayes + análisis,"H,G,R",3.9940599957849097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,kmeans,Bayes + SFS,"H,B,S",2.731631845273767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,kmeans,PCA + Bayes,"PC1,PC2,PC3",1.1743014726411185,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
2,reference,Bayes + análisis,"a*,R,S",11.556703493926367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,reference,Bayes + SFS,H,3.6952435763878073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,reference,PCA + Bayes,"PC1,PC2,PC3",-1.9749697807406807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
2,kmeans_linear_hue,Bayes + análisis,"a*,R,S",8.702173212149638,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
2,kmeans_linear_hue,Bayes + SFS,"a*,B,S",9.514467053942399,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
2,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",-0.38913439528381044,0.9444444444444445,0.75,0.8333333333333334,0.6666666666666666,0.75,0.7142857142857143,0.7692307692307692,4,2,1,5
